VACATION_TYPE_CODE,VACATION_TYPE_NAME
PAID_DAY_OFF,有給休暇
SP_DAY_OFF,特別休暇
AM_OFF,AM休
PM_OFF,PM休
TRANSFER_DAY_OFF,振替休暇
